Œ‚«Ì,,,,’‘‘Ω,,,,QWE
1E-05,0.000216205,,,1E-05,0.0002163526,,,1E-05,0.0002163524
1.258925E-05,0.0001749908,,,1.258925E-05,0.0001742206,,,1.258925E-05,0.0001742207
1.584893E-05,0.0001337134,,,1.584893E-05,0.0001327327,,,1.584893E-05,0.0001327326
1.995262E-05,9.696093E-05,,,1.995262E-05,9.612516E-05,,,1.995262E-05,9.612514E-05
2.511886E-05,6.716814E-05,,,2.511886E-05,6.65773E-05,,,2.511886E-05,6.657731E-05
3.162278E-05,4.475706E-05,,,3.162278E-05,4.438509E-05,,,3.162278E-05,4.438509E-05
3.981072E-05,2.887308E-05,,,3.981072E-05,2.865702E-05,,,3.981072E-05,2.865702E-05
5.011872E-05,1.813618E-05,,,5.011872E-05,1.801787E-05,,,5.011872E-05,1.801787E-05
6.309573E-05,1.114693E-05,,,6.309573E-05,1.108497E-05,,,6.309573E-05,1.108497E-05
7.943282E-05,6.731553E-06,,,7.943282E-05,6.700185E-06,,,7.943282E-05,6.700184E-06
0.0001,4.007834E-06,,,0.0001,3.992368E-06,,,0.0001,3.992368E-06
0.0001258925,2.359145E-06,,,0.0001258925,2.351673E-06,,,0.0001258925,2.351673E-06
0.0001584893,1.376064E-06,,,0.0001584893,1.372511E-06,,,0.0001584893,1.372511E-06
0.0001995262,7.968228E-07,,,0.0001995262,7.951542E-07,,,0.0001995262,7.951542E-07
0.0002511886,4.587423E-07,,,0.0002511886,4.579659E-07,,,0.0002511886,4.579659E-07
0.0003162278,2.628926E-07,,,0.0003162278,2.625339E-07,,,0.0003162278,2.625339E-07
0.0003981072,1.501091E-07,,,0.0003981072,1.499441E-07,,,0.0003981072,1.499441E-07
0.0005011872,8.546509E-08,,,0.0005011872,8.538949E-08,,,0.0005011872,8.53895E-08
0.0006309573,4.855032E-08,,,0.0006309573,4.851573E-08,,,0.0006309573,4.851573E-08
0.0007943282,2.753171E-08,,,0.0007943282,2.751587E-08,,,0.0007943282,2.751588E-08
0.001,1.559144E-08,,,0.001,1.558418E-08,,,0.001,1.558419E-08
0.001258925,8.820511E-09,,,0.001258925,8.817168E-09,,,0.001258925,8.817178E-09
0.001584893,4.986223E-09,,,0.001584893,4.984674E-09,,,0.001584893,4.984684E-09
0.001995262,2.817193E-09,,,0.001995262,2.816468E-09,,,0.001995262,2.816477E-09
0.002511886,1.591143E-09,,,0.002511886,1.590798E-09,,,0.002511886,1.590805E-09
0.003162278,8.984986E-10,,,0.003162278,8.983311E-10,,,0.003162278,8.983345E-10
0.003981072,5.073411E-10,,,0.003981072,5.072576E-10,,,0.003981072,5.072564E-10
0.005011872,2.864891E-10,,,0.005011872,2.864462E-10,,,0.005011872,2.864439E-10
0.006309573,1.618031E-10,,,0.006309573,1.617804E-10,,,0.006309573,1.617809E-10
0.007943282,9.140661E-11,,,0.007943282,9.139413E-11,,,0.007943282,9.139317E-11
0.01,5.165575E-11,,,0.01,5.164867E-11,,,0.01,5.164779E-11
0.01258925,2.920428E-11,,,0.01258925,2.920016E-11,,,0.01258925,2.92026E-11
0.01584893,1.651951E-11,,,0.01584893,1.651706E-11,,,0.01584893,1.651503E-11
0.01995262,9.349881E-12,,,0.01995262,9.348399E-12,,,0.01995262,9.343219E-12
0.02511886,5.295539E-12,,,0.02511886,5.294631E-12,,,0.02511886,5.296925E-12
0.03162278,3.001562E-12,,,0.03162278,3.001001E-12,,,0.03162278,3.009913E-12
0.03981072,1.702775E-12,,,0.03981072,1.702425E-12,,,0.03981072,1.706458E-12
0.05011872,9.669007E-13,,,0.05011872,9.666821E-13,,,0.05011872,9.60752E-13
0.06309573,5.496237E-13,,,0.06309573,5.494867E-13,,,0.06309573,5.392144E-13
0.07943282,3.127917E-13,,,0.07943282,3.127056E-13,,,0.07943282,3.072402E-13
0.1,1.782382E-13,,,0.1,1.78184E-13,,,0.1,1.800509E-13
