.1000000000000000E-04   .2161182803649501E-03
.1258925411794166E-04   .1748725293244443E-03
.1584893192461114E-04   .1335960057081650E-03
.1995262314968879E-04   .9686093718739276E-04
.2511886431509582E-04   .6709017792288612E-04
.3162277660168380E-04   .4469940568084221E-04
.3981071705534969E-04   .2883178238754653E-04
.5011872336272725E-04   .1810716512696823E-04
.6309573444801929E-04   .1112680174468031E-04
.7943282347242822E-04   .6717711805264682E-05
.1000000000000000E-03   .3998385374426048E-05
.1258925411794167E-03   .2352741767854294E-05
.1584893192461114E-03   .1371752640511099E-05
.1995262314968879E-03   .7939373915025643E-06
.2511886431509580E-03   .4568225600579275E-06
.3162277660168379E-03   .2616231435682748E-06
.3981071705534974E-03   .1492734150803202E-06
.5011872336272725E-03   .8491759574983678E-07
.6309573444801930E-03   .4819339581945241E-07
.7943282347242813E-03   .2729954385006623E-07
.1000000000000000E-02   .1544101402469912E-07
.1258925411794167E-02   .8723301985407556E-08
.1584893192461114E-02   .4923486969497590E-08
.1995262314968879E-02   .2776693521818626E-08
.2511886431509579E-02   .1565092487517469E-08
.3162277660168379E-02   .8817171342283175E-09
.3981071705534973E-02   .4965671760213679E-09
.5011872336272725E-02   .2795580612378995E-09
.6309573444801930E-02   .1573512650439581E-09
.7943282347242814E-02   .8854848087292269E-10
.1000000000000000E-01   .4982599963587377E-10
.1258925411794167E-01   .2803333196276794E-10
.1584893192461114E-01   .1577023895917155E-10
.1995262314968879E-01   .8870326583499687E-11
.2511886431509579E-01   .4988965179334369E-11
.3162277660168379E-01   .2806190560026519E-11
.3981071705534973E-01   .1577992045735629E-11
.5011872336272725E-01   .8877899320448594E-12
.6309573444801930E-01   .4991824941220393E-12
.7943282347242814E-01   .2807386472700017E-12
.1000000000000000   .1578399334338342E-12
