Œ‚«Ì,,,,’‘‘Ω,,,,QWE
1E-05,0.000216205,,,1E-05,-2.695473E-05,,,1E-05,-2.695473E-05
1.258925E-05,0.0001749908,,,1.258925E-05,-2.228578E-05,,,1.258925E-05,-2.228578E-05
1.584893E-05,0.0001337134,,,1.584893E-05,-1.730027E-05,,,1.584893E-05,-1.730027E-05
1.995262E-05,9.696093E-05,,,1.995262E-05,-1.251407E-05,,,1.995262E-05,-1.251407E-05
2.511886E-05,6.716814E-05,,,2.511886E-05,-8.350102E-06,,,2.511886E-05,-8.350102E-06
3.162278E-05,4.475706E-05,,,3.162278E-05,-5.042132E-06,,,3.162278E-05,-5.042132E-06
3.981072E-05,2.887308E-05,,,3.981072E-05,-2.634274E-06,,,3.981072E-05,-2.634274E-06
5.011872E-05,1.813618E-05,,,5.011872E-05,-1.038731E-06,,,5.011872E-05,-1.038731E-06
6.309573E-05,1.114693E-05,,,6.309573E-05,-9.872105E-08,,,6.309573E-05,-9.872105E-08
7.943282E-05,6.731553E-06,,,7.943282E-05,3.649883E-07,,,7.943282E-05,3.647871E-07
0.0001,4.007834E-06,,,0.0001,5.213928E-07,,,0.0001,5.212632E-07
0.0001258925,2.359145E-06,,,0.0001258925,5.075697E-07,,,0.0001258925,5.074869E-07
0.0001584893,1.376064E-06,,,0.0001584893,4.194784E-07,,,0.0001584893,4.194257E-07
0.0001995262,7.968228E-07,,,0.0001995262,3.144258E-07,,,0.0001995262,3.143921E-07
0.0002511886,4.587423E-07,,,0.0002511886,2.204572E-07,,,0.0002511886,2.204356E-07
0.0003162278,2.628926E-07,,,0.0003162278,1.472074E-07,,,0.0003162278,1.471935E-07
0.0003981072,1.501091E-07,,,0.0003981072,9.473024E-08,,,0.0003981072,9.47214E-08
0.0005011872,8.546509E-08,,,0.0005011872,5.924731E-08,,,0.0005011872,5.924168E-08
0.0006309573,4.855032E-08,,,0.0006309573,3.624052E-08,,,0.0006309573,3.623695E-08
0.0007943282,2.753171E-08,,,0.0007943282,2.178429E-08,,,0.0007943282,2.178202E-08
0.001,1.559144E-08,,,0.001,1.291587E-08,,,0.001,1.291444E-08
0.001258925,8.820511E-09,,,0.001258925,7.575158E-09,,,0.001258925,7.574251E-09
0.001584893,4.986223E-09,,,0.001584893,4.404891E-09,,,0.001584893,4.404319E-09
0.001995262,2.817193E-09,,,0.001995262,2.544095E-09,,,0.001995262,2.543734E-09
0.002511886,1.591143E-09,,,0.002511886,1.461513E-09,,,0.002511886,1.461285E-09
0.003162278,8.984986E-10,,,0.003162278,8.360489E-10,,,0.003162278,8.35905E-10
0.003981072,5.073411E-10,,,0.003981072,4.766597E-10,,,0.003981072,4.765688E-10
0.005011872,2.864891E-10,,,0.005011872,2.710452E-10,,,0.005011872,2.709881E-10
0.006309573,1.618031E-10,,,0.006309573,1.538078E-10,,,0.006309573,1.537717E-10
0.007943282,9.140661E-11,,,0.007943282,8.713968E-11,,,0.007943282,8.711588E-11
0.01,5.165575E-11,,,0.01,4.930765E-11,,,0.01,4.929418E-11
0.01258925,2.920428E-11,,,0.01258925,2.787424E-11,,,0.01258925,2.786755E-11
0.01584893,1.651951E-11,,,0.01584893,1.574666E-11,,,0.01584893,1.573825E-11
0.01995262,9.349881E-12,,,0.01995262,8.891159E-12,,,0.01995262,8.882328E-12
0.02511886,5.295539E-12,,,0.02511886,5.018636E-12,,,0.02511886,5.018681E-12
0.03162278,3.001562E-12,,,0.03162278,2.832254E-12,,,0.03162278,2.839791E-12
0.03981072,1.702775E-12,,,0.03981072,1.59827E-12,,,0.03981072,1.601483E-12
0.05011872,9.669007E-13,,,0.05011872,9.019557E-13,,,0.05011872,8.952297E-13
0.06309573,5.496237E-13,,,0.06309573,5.090696E-13,,,0.06309573,4.985032E-13
0.07943282,3.127917E-13,,,0.07943282,2.873837E-13,,,0.07943282,2.816123E-13
0.1,1.782382E-13,,,0.1,1.622832E-13,,,0.1,1.640153E-13
