.1000000000000000E-04   .2162050295639116E-03   376.4459451680102
.1258925411794166E-04   .1749907970760996E-03   295.3042376124354
.1584893192461114E-04   .1337134073470922E-03   240.7113201976638
.1995262314968879E-04   .9696094740752226E-04   203.1804502858043
.2511886431509582E-04   .6716814391906788E-04   176.8089535326815
.3162277660168380E-04   .4475705716768179E-04   157.8963665966421
.3981071705534969E-04   .2887307338312713E-04   144.0846808672067
.5011872336272725E-04   .1813617333586712E-04   133.8390093592494
.6309573444801929E-04   .1114693468812874E-04   126.1371016578794
.7943282347242822E-04   .6731553033549537E-05   120.2826453612989
.1000000000000000E-03   .4007834100365674E-05   115.7906062928348
.1258925411794167E-03   .2359145491989883E-05   112.3164414562078
.1584893192461114E-03   .1376064561018041E-05   109.6109508589047
.1995262314968879E-03   .7968235701317458E-06   107.4909011904269
.2511886431509580E-03   .4587420575622048E-06   105.8199243176167
.3162277660168379E-03   .2628925981048099E-06   104.4946958898872
.3981071705534974E-03   .1501089400216280E-06   103.4368881524920
.5011872336272725E-03   .8546499720951036E-07   102.5858899005166
.6309573444801930E-03   .4855037626000849E-07   101.8946586387799
.7943282347242813E-03   .2753166386764976E-07   101.3269210544223
.1000000000000000E-02   .1559141399082988E-07   100.8531536820301
.1258925411794167E-02   .8820547124284519E-08   100.4498908082414
.1584893192461114E-02   .4986259785958895E-08   100.0990335140363
.1995262314968879E-02   .2817151623007217E-08   99.78677893771706
.2511886431509579E-02   .1591146845987646E-08   99.49615789304329
.3162277660168379E-02   .8984826431380759E-09   99.22170619636614
.3981071705534973E-02   .5073482570697116E-09   98.94845942556640
.5011872336272725E-02   .2864866736999739E-09   98.67569683933084
.6309573444801930E-02   .1618008684452267E-09   98.39187871561111
.7943282347242814E-02   .9140374467247419E-10   98.09280639691944
.1000000000000000E-01   .5165668145223551E-10   97.76771916908120
.1258925411794167E-01   .2920572418652981E-10   97.41694344740286
.1584893192461114E-01   .1652037710157817E-10   97.03606595966875
.1995262314968879E-01   .9349882286978814E-11   96.62193334659574
.2511886431509579E-01   .5295229970145447E-11   96.16637995147808
.3162277660168379E-01   .3001582652976357E-11   95.65616106577816
.3981071705534973E-01   .1702512687608488E-11   95.10855439209790
.5011872336272725E-01   .9670694794143286E-12   94.47307118411497
.6309573444801930E-01   .5496142405183296E-12   93.80827878633558
.7943282347242814E-01   .3127929486534664E-12   93.06260018206891
.1000000000000000   .1781993708577933E-12   92.25906333421965
