Œ‚«Ì,,,,’‘‘Ω,,,,QWE
1E-05,0.000216205,,,1E-05,0.0001998938,,,1E-05,0.0001998943
1.258925E-05,0.0001749908,,,1.258925E-05,0.0001481953,,,1.258925E-05,0.000148195
1.584893E-05,0.0001337134,,,1.584893E-05,0.0001077333,,,1.584893E-05,0.0001077332
1.995262E-05,9.696093E-05,,,1.995262E-05,7.664966E-05,,,1.995262E-05,7.664974E-05
2.511886E-05,6.716814E-05,,,2.511886E-05,5.325008E-05,,,2.511886E-05,5.325009E-05
3.162278E-05,4.475706E-05,,,3.162278E-05,3.606923E-05,,,3.162278E-05,3.606922E-05
3.981072E-05,2.887308E-05,,,3.981072E-05,2.381805E-05,,,3.981072E-05,2.381805E-05
5.011872E-05,1.813618E-05,,,5.011872E-05,1.535095E-05,,,5.011872E-05,1.535095E-05
6.309573E-05,1.114693E-05,,,6.309573E-05,9.676704E-06,,,6.309573E-05,9.676706E-06
7.943282E-05,6.731553E-06,,,7.943282E-05,5.981346E-06,,,7.943282E-05,5.981346E-06
0.0001,4.007834E-06,,,0.0001,3.635179E-06,,,0.0001,3.63518E-06
0.0001258925,2.359145E-06,,,0.0001258925,2.177931E-06,,,0.0001258925,2.177931E-06
0.0001584893,1.376064E-06,,,0.0001584893,1.289411E-06,,,0.0001584893,1.289411E-06
0.0001995262,7.968228E-07,,,0.0001995262,7.559276E-07,,,0.0001995262,7.559277E-07
0.0002511886,4.587423E-07,,,0.0002511886,4.396372E-07,,,0.0002511886,4.396373E-07
0.0003162278,2.628926E-07,,,0.0003162278,2.540353E-07,,,0.0003162278,2.540354E-07
0.0003981072,1.501091E-07,,,0.0003981072,1.460254E-07,,,0.0003981072,1.460254E-07
0.0005011872,8.546509E-08,,,0.0005011872,8.358902E-08,,,0.0005011872,8.358903E-08
0.0006309573,4.855032E-08,,,0.0006309573,4.769002E-08,,,0.0006309573,4.769003E-08
0.0007943282,2.753171E-08,,,0.0007943282,2.71372E-08,,,0.0007943282,2.71372E-08
0.001,1.559144E-08,,,0.001,1.541018E-08,,,0.001,1.541018E-08
0.001258925,8.820511E-09,,,0.001258925,8.736857E-09,,,0.001258925,8.73686E-09
0.001584893,4.986223E-09,,,0.001584893,4.947333E-09,,,0.001584893,4.947335E-09
0.001995262,2.817193E-09,,,0.001995262,2.798911E-09,,,0.001995262,2.798912E-09
0.002511886,1.591143E-09,,,0.002511886,1.582411E-09,,,0.002511886,1.582412E-09
0.003162278,8.984986E-10,,,0.003162278,8.942401E-10,,,0.003162278,8.942405E-10
0.003981072,5.073411E-10,,,0.003981072,5.052088E-10,,,0.003981072,5.05209E-10
0.005011872,2.864891E-10,,,0.005011872,2.853883E-10,,,0.005011872,2.853886E-10
0.006309573,1.618031E-10,,,0.006309573,1.612158E-10,,,0.006309573,1.61216E-10
0.007943282,9.140661E-11,,,0.007943282,9.108273E-11,,,0.007943282,9.108185E-11
0.01,5.165575E-11,,,0.01,5.147162E-11,,,0.01,5.147242E-11
0.01258925,2.920428E-11,,,0.01258925,2.909683E-11,,,0.01258925,2.909927E-11
0.01584893,1.651951E-11,,,0.01584893,1.645545E-11,,,0.01584893,1.645301E-11
0.01995262,9.349881E-12,,,0.01995262,9.31106E-12,,,0.01995262,9.30584E-12
0.02511886,5.295539E-12,,,0.02511886,5.271725E-12,,,0.02511886,5.273852E-12
0.03162278,3.001562E-12,,,0.03162278,2.986825E-12,,,0.03162278,2.995732E-12
0.03981072,1.702775E-12,,,0.03981072,1.693598E-12,,,0.03981072,1.69782E-12
0.05011872,9.669007E-13,,,0.05011872,9.611622E-13,,,0.05011872,9.55113E-13
0.06309573,5.496237E-13,,,0.06309573,5.460248E-13,,,0.06309573,5.358419E-13
0.07943282,3.127917E-13,,,0.07943282,3.105301E-13,,,0.07943282,3.049568E-13
0.1,1.782382E-13,,,0.1,1.768151E-13,,,0.1,1.786596E-13
